"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","LithDataProvider","ConstDataProvider","Link"
"CODWR","912","Colorado Division of Water Resources","NHP-PL-150","39.128889","-102.32769","NAD83","User supplied","15 m","4295.39","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","315","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/912"
"CODWR","881","Colorado Division of Water Resources","NHP-PL-112","39.224998","-102.351858","NAD83","User supplied","15 m","4213.19","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","265","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/881"
"CODWR","867","Colorado Division of Water Resources","NHP-PL-092","39.251944","-102.077683","NAD83","User supplied","15 m","4012.64","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","312","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/867"
"CODWR","890","Colorado Division of Water Resources","NHP-PL-120","39.274718","-102.526032","NAD83","User supplied","15 m","4343.08","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","255","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/890"
"CODWR","1094","Colorado Division of Water Resources","NHP-PL-123","39.290199","-102.6050001","NAD83","GPS","10 m","4421","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","238","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","","Ogallala aquifer","WELL","UNCONFINED","0","No","","","CO DWR HydroBase","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","Permitted for Irrigation","","","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1094"
"CODWR","843","Colorado Division of Water Resources","NHP-PL-067","39.303053","-102.241022","NAD83","User supplied","15 m","4129.38","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","313","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","Permitted for irrg, but land in trust","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/843"
"CODWR","1036","Colorado Division of Water Resources","NHP-PL-043","39.391383","-102.481031","NAD83","User supplied","15 m","4272.08","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","290","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1036"
"CODWR","49502","Colorado Division of Water Resources","NHP-AR-115","39.403971","-102.743305","NAD83","GPS","10 m","4404","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","182","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/49502"
"CODWR","800","Colorado Division of Water Resources","NHP-PL-018","39.425274","-102.09074","NAD83","User supplied","15 m","3931.19","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","290","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/800"
"CODWR","825","Colorado Division of Water Resources","NHP-PL-049","39.428048","-102.635759","NAD83","User supplied","15 m","4256.02","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","155","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/825"
"CODWR","805","Colorado Division of Water Resources","NHP-PL-024","39.451106","-102.221301","NAD83","User supplied","15 m","3968.96","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","295","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/805"
"CODWR","818","Colorado Division of Water Resources","NHP-PL-035","39.475271","-102.453531","NAD83","User supplied","15 m","4178.51","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","305","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/818"
"CODWR","952","Colorado Division of Water Resources","NHP-PL-198","39.565998","-102.301339","NAD83","GPS","10 m","3891.97","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","183","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","063","Kit Carson County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/952"
"CODWR","727","Colorado Division of Water Resources","NHP-AR-065","39.572138","-102.663555","NAD83","GPS","10 m","4278.96","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","220","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/727"
"CODWR","718","Colorado Division of Water Resources","NHP-AR-057","39.610555","-102.464412","NAD83","GPS","10 m","4092.69","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","244","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/718"
"CODWR","687","Colorado Division of Water Resources","NHP-AR-023","39.705547","-102.401309","NAD83","User supplied","15 m","4076.72","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","351","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/687"
"CODWR","691","Colorado Division of Water Resources","NHP-AR-029","39.713526","-102.673954","NAD83","GPS","10 m","4164.13","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","85","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/691"
"CODWR","678","Colorado Division of Water Resources","NHP-AR-015","39.720695","-102.23567","NAD83","GPS","10 m","3932.26","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","330","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/678"
"CODWR","625","Colorado Division of Water Resources","NHP-CY-057","39.8211","-102.611594","NAD83","User supplied","15 m","4171.04","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","147","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/625"
"CODWR","665","Colorado Division of Water Resources","NHP-AR-002","39.854308","-102.183422","NAD83","GPS","10 m","3577.69","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","25","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Stock","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/665"
"CODWR","620","Colorado Division of Water Resources","NHP-CY-050","39.856934","-102.525481","NAD83","User supplied","15 m","4072","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","305","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/620"
"CODWR","616","Colorado Division of Water Resources","NHP-CY-045","39.88638","-102.317141","NAD83","User supplied","15 m","3867.43","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","170","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/616"
"CODWR","615","Colorado Division of Water Resources","NHP-CY-043","39.942766","-102.666597","NAD83","User supplied","15 m","4163.91","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","236","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","125","Yuma County","TO","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Irrigation","CODWR","CODWR","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/615"
"USGS","373405106112501","U.S. Geological Survey","NA03800703ABB","37.5745032735227","-106.193668995492","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7709","1","Feet","NGVD29","Level or other surveying method","+/- 1. ft","100","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=373405106112501&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","373920106113001","U.S. Geological Survey","NA03900703ABB","37.6603080001061","-106.194946468602","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7722","1","Feet","NGVD29","Altimeter","+/- 20 ft","100","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=373920106113001&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","372805106085001","U.S. Geological Survey","NA03700807BCC   RIO 1","37.468059832428","-106.147806773852","NAD83","Interpolated from map","Accurate to +/- 10 seconds","7650","1","Feet","NGVD29","Altimeter","+/- 5 ft","632","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","CONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=372805106085001&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","373830106094001","U.S. Geological Survey","NA03900712BAB","37.6472245512486","-106.163640030077","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7702","1","Feet","NGVD29","Level or other surveying method","+/- 1. ft","107","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=373830106094001&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","373924106084801","U.S. Geological Survey","NA03900806BBB","37.6610853920469","-106.148222845707","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7680","1","Feet","NGVD29","Interpolated from topographic map","+/- 10 ft","14","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=373924106084801&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","373315106071001","U.S. Geological Survey","NA03800808BAA","37.5603918892735","-106.121472468298","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7642","1","Feet","NGVD29","Altimeter","+/- 20 ft","40","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=373315106071001&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","373924106082501","U.S. Geological Survey","NA03900806BCB  RG37","37.6566687145473","-106.140861532711","NAD83","Interpolated from map","Accurate to +/- 5 seconds","7680","1","Feet","NGVD29","Interpolated from topographic map","+/- 5. ft","44","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=373924106082501&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","375035106105501","U.S. Geological Survey","NA04200735BCC   SAG 1 (RGWCD CONFINED)","37.8430565611997","-106.182527711257","NAD83","Interpolated from map","Accurate to +/- 10 seconds","7647","1","Feet","NGVD29","Altimeter","+/- 20 ft","825","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","109","Saguache County","100CNZC","Cenozoic Erathem","WELL","CONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=375035106105501&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","372700106053201","U.S. Geological Survey","NA03700815BBC","37.4556432340607","-106.094027383452","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7630","1","Feet","NGVD29","Altimeter","+/- 20 ft","50","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","105","Rio Grande County","100CNZC","Cenozoic Erathem","WELL","UNCONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=372700106053201&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
"USGS","375155106105501","U.S. Geological Survey","NA04200723CCC","37.8665842312577","-106.182916270799","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7641","1","Feet","NGVD29","Altimeter","+/- 20 ft","130","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","109","Saguache County","100CNZC","Cenozoic Erathem","WELL","CONFINED","0","No","","","","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","","USGS","USGS","http://waterdata.usgs.gov/nwis/inventory?search_site_no=375155106105501&search_site_no_match_type=exact&sort_key=site_no&group_key=NONE&sitefile_output_format=html_table&column_name=agency_cd&column_name=site_no&column_name=station_nm&format=station_manuscript&list_of_search_criteria=search_site_no"
